id_measures,Name,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
18,Cirque_Fjord,-0.03,-0.34,0.03,0.01,-0.23,0.06,0.05,-0.01,0.07,-0.02,0.61,0.04,0.01,0.01,-0.01,0.03,0.94,-0.09,-0.02,-0.01,0.0,0.0
177,ClarkeBay,-0.08,0.01,-0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,-0.01,0.0,0.0,0.0,-0.01,0.0,0.0,0.0,0.0,0.0,0.0
113,Commandant_Charcot,-0.88,-1.95,0.38,0.2,-2.59,2.13,0.49,0.2,2.32,-2.29,1.88,0.48,0.13,0.3,2.77,0.8,0.48,0.17,0.07,0.15,0.09,0.0
99,Conger_Glenzer,-3.74,2.34,1.4,1.46,4.38,0.52,-0.18,0.14,0.44,-0.41,-9.19,-0.24,-2.42,-1.24,-5.94,-0.5,1.87,1.97,1.88,1.77,-3.83,-27.14
90,Cook,70.91,-13.61,23.21,19.08,0.51,22.43,20.08,19.11,30.17,6.66,4.92,26.05,20.73,26.34,17.68,29.17,30.58,23.22,23.8,29.46,-13.88,10.53
54,Cosgrove,3.32,-0.5,1.33,1.5,-2.27,0.77,-1.88,0.72,4.55,-4.06,0.07,-3.04,-2.56,0.55,0.56,-2.02,0.03,0.01,0.0,0.05,0.01,0.0
57,Crosson,13.16,-1.18,12.76,15.51,6.91,26.4,9.53,4.7,8.54,7.3,-55.77,3.33,2.14,3.94,-37.14,-0.57,8.13,6.69,7.4,9.26,5.85,4.28
23,Dalk,-0.19,-0.63,0.2,0.18,-0.52,0.2,0.25,0.23,0.25,-0.92,0.2,0.25,-0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,Dawson_Lambton,0.86,0.27,0.68,0.63,-0.07,0.72,0.43,0.2,0.73,-0.36,-0.05,0.48,0.29,0.36,0.4,-0.74,0.19,0.06,0.13,0.06,0.05,-0.03
145,Deakin,0.26,0.44,1.46,1.53,0.64,0.63,0.65,0.67,-1.3,0.39,0.41,-1.34,0.16,-0.39,-1.37,-0.15,0.48,0.37,0.19,0.08,0.1,0.0
32,Dennistoun,0.13,1.13,0.02,0.02,-0.01,0.03,0.0,0.02,0.06,-0.04,-0.06,0.03,0.03,0.0,0.02,-0.09,0.05,0.02,-1.46,0.0,0.01,0.0
114,Dibble,2.57,-3.36,3.37,1.24,-5.65,4.45,1.44,0.12,0.12,-3.34,4.45,3.51,4.24,4.95,4.56,6.4,6.84,1.75,3.55,3.61,-12.98,-0.34
