id_measures,Name,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
126,Erebus,-0.31,-0.15,-0.01,-0.01,0,0,-0.01,-0.01,0,-0.01,0,-0.01,0,0,0,-0.02,0,0,0,0,0,0
130,Falkner,-0.01,-0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.01,0,0,0,0,0,0
155,Ferrigno,0,-2.03,0,0,-2.45,0,0,-5.11,0,-0.65,-20.03,-3.17,0,0,-18.01,0,0,0,0,0,0,0
35,Filchner,0,-47.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
121,Fimbul,0,0,0,0,-3.39,0,0,0,-4.23,-5.75,0,-23.08,0,0,0,-5.46,-0.43,0,0,0,0,0
147,Fisher,0,0,0,0,0,0,0,0,-7.45,-4.54,0,0,0,0,-1.53,0,0,0,0,0,0,-3.63
81,Fitzgerald,-0.06,-1.22,-0.05,0,-0.11,0,0,-0.08,0,-0.13,0,-0.12,-0.06,0,-0.01,-0.1,0,0,0,0,0,0
21,Flatnes,0,-0.3,0,0,-0.8,0,0,0,-0.01,-0.88,0,0,-0.94,0,0,-0.99,0,0,0,0,0,0
153,Fox_East,0,-1.26,0,0,-1.72,0,0,0,0,-3.4,-1.05,-1.14,0,0,-1.43,0,0,0,0,0,0,-22.34
172,Fox_West,0,-0.18,0,0,0,0,0,0,-18.64,-3.89,0,-1.72,-0.73,0,0,-2.13,0,0,0,0,0,-0.03
28,Francais,-0.95,0,0,0,-2.01,0,-0.19,0,-2.82,-5.41,0,0,0,0,-2.24,0,0,0,0,0,0,-0.17
160,Frost,0,0,0,0,-2.83,0,0,-14.87,-46.22,-16.89,0,0,0,0,-17.18,0,0,-53.26,0,0,0,-4.25
140,Gannutz,0,0,0,0,-0.01,0,0,0,0,-0.03,0,0,0,0,0,-0.1,0,0,-0.01,0,0,0
170,Garfield,-1.99,0,0,0,0,-0.37,0,0,-0.38,0,-3.62,0,0,0,-1.0,0,0,-5.77,-0.09,-0.06,0,0
77,GeikieInlet,0,0,0,-0.05,-0.61,0,0,-0.19,0,-0.59,0,0,0,0,0,-0.08,0,0,0,0,0,0
45,George_VI,-3.28,0,0,0,-7.03,0,0,0,-0.8,-9.88,-19.19,-15.33,-2.69,-5.07,-8.49,-15.12,-0.36,0,0,0,0,0
60,Getz,0,0,0,0,-36.22,0,0,-2.35,0,-41.74,-4.69,0,-23.64,0,0,-75.78,0,-60.13,-9.11,-7.77,-34.6,-43.68
61,Getz_1,0,-0.57,0,0,-1.5,0,0,0,0,-1.68,0,0,0,0,0,-0.49,0,0,-10.15,0,0,-0.03
59,Getz_2,0,-1.89,0,0,0,-0.01,0,0,0,0,-0.01,0,0,0,0,0,0,0,-7.38,0,0,0
29,Gillet,0,0,0,0,-0.08,0,0,0,0,-0.72,-2.21,0,0,0,0,-1.32,0,0,0,0,0,-0.03
69,Hamilton,-1.47,0,0,0,-0.41,0,0,0,0,-0.95,0,-0.74,0,0,0,-0.25,0,0,0,0,0,0
165,Hamilton_Piedmont,0,-0.24,0,0,0,0,0,0,0,-0.05,-0.02,-0.02,0,0,0,-0.02,0,0,0,0,0,0
75,HarbordGlacier,0,-0.11,0,0,-0.02,0,0,0,0,-0.15,0,-0.11,0,0,0,-0.66,-0.22,-0.14,0,0,0,0
168,Harmon_Bay,0,0,0,0,-0.47,0,-0.08,0,0,-0.78,0,-0.62,0,0,0,-1.27,0,0,0,0,0,0
178,Hayes_Coats_Coast,-1.14,-1.96,0,0,0,-0.24,0,0,-1.06,-1.1,0,0,0,0,0,-0.77,0,0,0,0,0,0
101,Helen,0,-2.38,-5.77,0,-6.28,0,0,0,0,-2.55,0,-10.79,0,0,0,-4.11,0,0,0,0,0,-0.01
156,Holmes,0,-26.58,0,0,0,0,0,0,0,-0.59,0,0,0,0,-0.74,0,0,-0.37,-18.23,0,0,-39.56
166,Holt,0,-0.45,0,0,-1.21,0,0,0,-3.44,-0.98,-0.06,0,0,0,0,-1.44,0,0,0,0,0,0
146,HornBluff,0,0,0,0,-0.01,0,0,0,0,0,0,-0.22,0,0,0,-7.92,0,0,0,0,0,0
19,Hoseason,0,-0.7,0,0,-0.99,0,0,0,0,-0.72,0,0,0,-0.98,0,-0.04,0,-0.68,-0.01,-0.01,0,0
22,Hovde,0,-1.82,0,0,-2.51,-2.45,0,-0.06,0,-1.62,-0.94,-0.06,0,-0.35,0,-2.83,0,0,0,0,0,0
62,Hull,0,-15.21,0,0,-3.05,0,-2.43,0,0,-5.62,0,0,-1.7,-1.32,0,0,0,-6.86,0,0,0,0
167,Hummer_Point,0,-0.33,0,0,-0.07,0,0,0,0,-0.31,-0.18,-0.08,0,0,0,-0.34,0,0,0,0,0,0
135,Ironside,-0.1,0,0,-0.01,-0.07,0,-0.21,-0.05,0,-0.01,-0.06,-0.02,-0.03,0,0,-0.58,0,0,0,0,0,-0.02
4,Jackson,0,0,0,0,-0.32,-0.69,0,0,0,-0.73,-1.38,0,0,0,0,-1.4,-0.1,0,0,0,0,0
125,Jelbart,0,0,0,0,-0.47,0,0,0,0,-1.34,0,0,0,0,0,0,0,0,0,0,0,0
137,Kirkby,0,0,0,0,-0.03,0,0,0,0,-0.39,0,0,0,0,-0.21,-0.25,0,0,0,0,-0.27,-0.04
63,Land,0,-163.75,0,0,-2.72,0,0,0,0,-4.09,0,0,0,0,0,0,0,0,0,0,0,-0.27
154,LarsenA,-90.33,-2.01,-155.73,0,-4.59,-10.41,-4.62,-0.87,0,-3.31,0,-0.23,0,0,-15.98,-0.11,0,-0.43,0,0,0,-0.14
51,LarsenB,-145.64,0,-262.38,-0.75,-8.82,0,-127.57,0,-23.92,-11.07,0,0,0,0,0,-0.01,0,-1.34,0,0,0,0
8,LarsenC,0,-21.23,0,0,-5.19,-293.83,0,0,0,0,0,0,0,0,0,0,0,0,-1285.42,0,-11.21,0
6,LarsenD,0,-0.42,0,0,-0.99,0,0,0,0,0,0,0,0,0,-0.66,0,0,0,0,0,0,-97.03
5,LarsenD_1,0,0,0,0,-0.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.03
161,LarsenE,-51.37,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.36,0,0,0,0,0,0,0
7,LarsenF,-13.05,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.07,-0.99,0,0,0,0,0,0
33,LarsenG,0,0,0,0,-0.29,0,-1.48,0,-3.12,-1.35,0,0,0,0,-0.45,0,0,0,0,0,0,-0.03
112,Lauritzen,0,-2.67,0,0,-1.27,0,0,0,0,-1.44,-1.0,-1.59,-5.53,0,0,-3.46,0,0,0,0,0,0
120,Lazarev,0,0,0,0,-2.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.06,0,0
31,Lillie,-0.1,0,0,0,-0.64,0,-0.05,-0.05,0,-1.28,0,-0.11,-0.05,0,-6.53,-0.05,0,0,0,0,0,-0.01
27,Liotard,0,0,0,0,0,0,0,0,-1.25,-1.0,0,0,0,0,-0.92,0,0,0,0,-0.01,0,-0.03
132,Mandible_Cirque,0,-0.12,0,0,0,0,0,0,0,0,-0.09,0,0,0,0,-0.01,0,0,0,0,0,0
134,Manhaul,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.69,0,0,0,0,0,0
127,Marin,0,-0.14,-0.01,0,0,0,-0.01,-0.01,0,-0.03,0,0,0,0,0,0,-0.02,-0.06,0,0,0,0
83,Mariner,0,0,0,0,-0.98,0,0,0,0,-0.07,0,0,0,0,-4.48,-1.05,0,0,0,0,0,-0.15
