,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
110,0.5119119504025472,4.253760169125009,8.184524949286029,12.985672119527555,12.985799582887724,16.306564363048746,17.367201679849593,17.367902728330527,18.188285118411038,18.188285118411038,18.188285118411038,18.18873124017163,18.189049898572055,18.189049898572055,18.189049898572055,18.189049898572055,18.18911363025214,19.21917736193223,19.92917736193223,20.369177361932223,21.459241093612306,21.459241093612306
111,0.0,0.43999999999999995,0.43999999999999995,0.51,0.54,0.54,0.72,0.9600000000000002,1.2000000000000002,1.2000000000000002,1.2000000000000002,1.2000000000000002,1.28,1.28,1.28,1.28,1.28,1.38,1.5100000000000002,1.63,1.69,1.69
105,0.0,0.4,0.42000000000000004,0.4900000000000001,0.4900000000000001,0.4900000000000001,0.53,0.6100000000000001,0.6100000000000001,0.7,0.7,0.7,0.76,0.76,0.76,0.76,0.77,0.81,0.8600000000000001,0.88,0.96,0.96
106,0.0,0.0,0.0,0.0,0.03,0.03,0.03,0.03,0.049999999999999996,0.049999999999999996,0.049999999999999996,0.049999999999999996,0.049999999999999996,0.049999999999999996,0.049999999999999996,0.049999999999999996,0.049999999999999996,0.049999999999999996,0.049999999999999996,0.049999999999999996,0.049999999999999996,0.049999999999999996
107,0.5208477181055158,0.5208477181055158,0.8068033280457989,1.1336097394061224,1.1336097394061224,1.3276510461513145,1.4808415514764661,1.746371760706729,1.8893495656768708,1.8893495656768708,1.8893495656768708,1.8893495656768708,1.8995622660318807,1.8995622660318807,1.8995622660318807,2.1038162731320833,2.287644879522265,2.3795591827173563,2.4204099841373967,2.440835384847417,2.440835384847417,2.440835384847417
108,0.57,0.79,1.02,1.3499999999999999,1.6199999999999999,1.6199999999999999,2.4299999999999997,2.58,2.58,2.58,2.58,2.75,2.7700000000000005,2.99,2.99,2.99,3.0,3.0100000000000002,3.02,3.0300000000000002,3.0300000000000002,3.0300000000000002
109,0.30260486126802255,0.595122893827111,0.7161648383343201,0.8977277550951336,0.9179014125130017,1.0389433570202107,1.1398116441095518,1.2507667599078265,1.3112877321614311,1.3112877321614311,1.3112877321614311,1.3818955331239695,1.4323296766686402,1.4323296766686402,1.4323296766686402,1.4323296766686402,1.442416505377574,1.4525033340865081,1.4525033340865081,1.4525033340865081,1.4625901627954425,1.4625901627954425
148,0.97,1.2499999999999998,1.8599999999999999,2.44,2.44,3.07,3.35,3.7100000000000004,3.8,3.8,4.42,4.859999999999999,4.859999999999999,4.859999999999999,5.180000000000001,5.8500000000000005,6.400000000000001,6.95,7.51,7.98,8.41,8.41
174,0.0,0.0,3.608874928935049,3.608874928935049,6.636901914162874,6.636901914162874,6.655946109038521,7.151095175805334,7.151095175805334,7.151095175805334,8.074738627274199,8.074738627274199,8.44610042734931,8.550843499165367,8.550843499165367,10.95041205349685,11.816922920338774,12.369204571732528,12.550124423051173,12.692955884618524,12.731044274369818,12.731044274369818
115,96.90657092509788,115.20285005815691,159.18161023762096,199.1586815098545,199.1586815098545,238.63803028118866,292.4716959784592,322.763087383192,410.8301066923178,421.80986506215686,457.2576615762065,510.2850168220203,540.1384124259615,598.3520361311463,635.4522713481815,688.9773490948947,741.8952053905107,788.2630335742912,814.144603621056,861.3286967063116,861.3286967063116,900.6388198273401
