,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
110,0.5119119504025472,3.7418482187224624,3.9307647801610193,4.801147170241529,0.00012746336016981728,3.320764780161019,1.0606373168008492,0.000701048480933995,0.8203823900805095,0.0,0.0,0.00044612176059436045,0.00031865840042454317,0.0,0.0,0.0,6.373168008490864e-05,1.0300637316800851,0.7099999999999999,0.43999999999999995,1.090063731680085,0.0
111,0.0,0.43999999999999995,0.0,0.07,0.03,0.0,0.18,0.24,0.24,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.1,0.13,0.12,0.06,0.0
105,0.0,0.4,0.02,0.07,0.0,0.0,0.04,0.08,0.0,0.09,0.0,0.0,0.06,0.0,0.0,0.0,0.01,0.04,0.05,0.02,0.08,0.0
106,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.020000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
107,0.5208477181055158,0.0,0.28595560994028313,0.32680641136032357,0.0,0.1940413067451921,0.15319050532515166,0.26553020923026294,0.14297780497014156,0.0,0.0,0.0,0.010212700355010111,0.0,0.0,0.20425400710020225,0.183828606390182,0.091914303195091,0.040850801420040446,0.020425400710020223,0.0,0.0
108,0.57,0.21999999999999997,0.23,0.32999999999999996,0.27,0.0,0.81,0.15,0.0,0.0,0.0,0.17,0.02,0.21999999999999997,0.0,0.0,0.01,0.01,0.01,0.01,0.0,0.0
109,0.30260486126802255,0.2925180325590884,0.12104194450720901,0.18156291676081351,0.020173657417868168,0.12104194450720901,0.10086828708934086,0.11095511579827494,0.060520972253604505,0.0,0.0,0.0706078009625386,0.05043414354467043,0.0,0.0,0.0,0.010086828708934084,0.010086828708934084,0.0,0.0,0.010086828708934084,0.0
148,0.97,0.2800000000000001,0.61,0.5800000000000001,0.0,0.63,0.2800000000000001,0.35999999999999993,0.08999999999999998,0.0,0.62,0.44000000000000006,0.0,0.0,0.31999999999999995,0.67,0.55,0.55,0.5600000000000002,0.47,0.42999999999999994,0.0
174,0.0,0.0,3.608874928935049,0.0,3.0280269852278248,0.0,0.019044194875646698,0.49514906676681414,0.0,0.0,0.9236434514688647,0.0,0.37136180007511055,0.10474307181605684,0.0,2.3995685543314837,0.8665108668419247,0.5522816513937542,0.18091985131864363,0.14283146156735022,0.038088389751293396,0.0
115,96.90657092509788,18.296279133059052,43.97876017946404,39.977071272233495,0.0,39.47934877133417,53.833665697270604,30.291391404732696,88.06701930912591,10.979758369839029,35.44779651404968,53.027355245813695,29.853395603941294,58.21362370518463,37.10023521703542,53.52507774671304,52.917856295615856,46.36782818378079,25.88157004676471,47.18409308525567,0.0,39.31012312102841
