id_measures,Name,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
143,Drury,0.18,0.1,0.21,0.37,0,0.46,0.36,0.24,0.21,0,0.4,0.35,0.19,0.31,0.12,0,0,0.16,0.09,0,0.11,0
73,Drygalski,6.62,0.68,2.76,2.33,0,0,0,0,6.66,0,1.84,0.48,3.07,2.54,0.5,0,1.16,1.09,1.17,2.02,1.53,0.27
17,Edward_VIII,3.79,0,1.46,1.39,0,1.45,1.17,1.42,0.91,0,1.13,1.17,1.32,1.39,0,1.68,1.99,1.94,0,0.14,0.07,0
39,Ekstrom,6.37,0.47,3.16,2.87,0,0.32,2.19,2.48,3.43,0.95,1.17,2.06,2.03,2.25,0,0,0.93,1.82,2.62,1.96,2.23,0
173,Eltanin_Bay,0,0.43,0.32,0.32,0,0,0.02,0.02,0,0,0.74,0.35,0.22,0,0,1.25,0.3,0.17,0.14,0.19,0.18,0
126,Erebus,0,0,0,0,0.01,0,0,0,0.01,0,0,0,0,0.01,0,0,0,0,0,0,0.02,0
130,Falkner,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0
155,Ferrigno,3.62,0,7.61,3.8,0,1.61,1.95,0,7.95,0,0,0,0.07,0.14,0,4.99,1.51,0.69,0.19,0.07,7.35,6.27
35,Filchner,207.74,0,84.44,83.33,44.45,55.73,85.43,83.38,113.41,24.04,75.49,93.3,78.95,88.91,60.23,95.82,84.39,89.13,91.03,85.63,95.28,85.45
121,Fimbul,15.31,3.72,15.95,17.13,0,8.03,19.9,10.9,0,0,11.83,0,19.8,16.41,9.95,0,0,5.37,9.5,12.45,11.42,7.72
147,Fisher,2.52,0.92,1.31,1.35,0.03,1.39,1.14,1.06,0,0,1.12,0.6,0.46,0.62,0,3.11,2.37,1.22,1.29,1.29,1.55,0
81,Fitzgerald,0,0,0,0.04,0,0.09,0.03,0,0.12,0,0.1,0,0,0.07,0,0,0.15,0.07,0.1,0.01,0.17,0.01
21,Flatnes,0.64,0,0.09,0.06,0,0.38,0.31,0.19,0,0,0.31,0.19,0,0.17,0.27,0,0,0,0,0,0.02,0
153,Fox_East,2.75,0,2.42,1.55,0,1.39,0.01,0.72,1.86,0,0,0,0.74,0.93,0,3.46,3.75,3.33,3.1,2.87,2.77,0
172,Fox_West,9.45,0,3.17,3.14,0.17,0.13,2.26,0.68,0,0,1.31,0,0,1.08,0,0,0.09,0,0.08,0,0,0
28,Francais,0,0.96,3.18,1.83,0,2.34,0,0.5,0,0,0.46,0.97,0.73,0.31,0,3.2,1.22,0.42,0.2,1.33,0.87,0
160,Frost,35.83,9.81,18.56,12.54,0,9.05,1.49,0,0,0,13.69,3.23,0.83,0.35,0,30.1,28.49,0,0.77,0.4,0.44,0
140,Gannutz,0.03,0.01,0.03,0.02,0,0.02,0.01,0.01,0.02,0,0.04,0.01,0.02,0.03,0.01,0,0.01,0.01,0,0.01,0,0
170,Garfield,0,0.02,0.49,0.27,0.2,0,0.13,0.12,0,0.28,0,0.1,0.29,0.2,0,0.88,0.89,0,0,0,0.04,0
77,GeikieInlet,1.0,0.06,0.25,0,0,0.3,0.15,0,0.26,0,0.36,0.13,0.25,0.21,0.22,0,0.22,0.05,0.14,0.08,0.07,0.05
45,George_VI,0,0.69,4.83,3.8,0,4.9,2.74,2.79,0,0,0,0,0,0,0,0,0,0.53,1.38,3.35,3.72,1.55
60,Getz,63.56,4.23,41.22,24.64,0,21.46,0.63,0,44.95,0,0,0.22,0,39.71,7.86,0,20.86,0,0,0,0,0
61,Getz_1,2.76,0,0.91,0.81,0,0.92,1.07,0.73,0.32,0,0.95,1.07,1.05,1.05,1.04,0,0.72,0.54,0,0.01,0.01,0
59,Getz_2,0.76,0,0.1,0.08,0.01,0,0.01,0,0,0,0,0.01,0,0,0,0.51,0.48,0.47,0,0,0,0
29,Gillet,1.1,0.5,0.56,0.69,0,0.49,0.29,0.38,0.29,0,0,0.23,0.33,0.23,0.23,0,0.12,0.07,0.08,0.03,0.03,0
69,Hamilton,0,0,0.36,0.29,0,0.23,0.22,0.26,0.24,0,0.32,0,0.06,0.24,0.21,0,0.05,0,0.04,0.07,0.05,0
165,Hamilton_Piedmont,0.32,0,0.02,0.07,0,0,0,0.04,0.01,0,0,0,0.04,0,0,0,0,0,0,0,0,0
75,HarbordGlacier,0.15,0,0.04,0.1,0,0.03,0,0.02,0.12,0,0.02,0,0.02,0.02,0.03,0,0,0,0.07,0,0.1,0
168,Harmon_Bay,0.36,0.04,0.2,0.18,0,0.15,0,0.16,0.61,0,0.09,0,0.19,0.21,0.13,0,0,0.01,0,0.01,0,0
178,Hayes_Coats_Coast,0,0,0.38,0.43,0.29,0,0.37,0.16,0,0,0.31,0.57,0.12,0.46,0.01,0,0.05,0.03,0.04,0.06,0.12,0
101,Helen,17.69,0,0,0.76,0,5.48,3.15,1.44,12.03,0,1.35,0,1.27,0.65,2.54,0,0.97,0.54,0.25,0.15,0.19,0
156,Holmes,26.14,0,5.04,2.77,0.02,0.35,0.19,0.17,0.05,0,0.27,0.22,0.02,0.01,0,25.96,27.47,0,0,0.64,3.21,0
166,Holt,1.7,0,0.21,0.04,0,0.81,0.32,0.07,0,0,0,0.39,0.12,0.49,0.46,0,0.01,0,0,0,0,0
146,HornBluff,0.44,0.54,0.73,0.65,0,0.76,0.64,0.41,1.08,0.66,0.14,0,0.38,0.39,0.22,0,0.04,0.02,0.03,0.03,0.04,0.01
19,Hoseason,0.41,0,0.02,0.04,0,0.27,0.28,0.13,0.04,0,0.28,0.25,0.13,0,0.25,0,0.56,0,0,0,0,0
