,Names,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,Total
1,Dawson_Lambton,0.9996492057175556,0.3138433552834187,0.7904203021952767,0.732301162327977,0.0,0.8369156140891165,0.4998246028587778,0.232476559469199,0.8485394420625765,0.0,0.0,0.5579437427260776,0.3370910112303386,0.4184578070445582,0.4649531189383981,0.0,0.220852731495739,0.0697429678407597,0.1511097636549793,0.0697429678407597,0.0581191398672997,0.0,7.601983494642806
2,Philbin_Inlet,0.37,0.0,0.29,0.2099999999999999,0.0,0.32,0.0,0.02,1.17,0.0,0.31,0.0,0.0499999999999999,0.1099999999999999,0.18,0.0,0.0,0.0,0.0,0.0,0.01,0.0,3.0399999999999996
3,Walgreen_Coast_2,0.0,0.0,0.1497561743354017,0.1382364686172938,0.0,0.1382364686172938,0.1612758800535095,0.1497561743354017,0.0115197057181078,0.0,0.1382364686172938,0.0,0.0,0.1382364686172938,0.126716762899186,0.0,0.0,0.0,0.0,0.0230394114362156,0.0,0.0,1.1750099832469973
4,Jackson,2.91086283754466,0.2861526179281191,0.8683251854370513,0.7400498739520323,0.0,0.0,0.0296019949580812,0.0592039899161625,1.4307630896405958,0.0,0.0,0.0690713215688563,0.374958602802363,0.6019072308143196,0.2565506229700379,0.0,0.0,0.0,0.0,0.0296019949580812,0.0296019949580812,0.0,7.68665135744844
5,LarsenD_1,0.2855925732449667,0.1181762372048138,0.1477202965060172,0.0098480197670678,0.0,0.2068084151084241,0.1477202965060172,0.1674163360401529,0.2954405930120345,0.1181762372048138,0.1969603953413564,0.1181762372048138,0.1772643558072207,0.1772643558072207,0.216656434875492,0.2265044546425598,0.2265044546425598,0.216656434875492,0.216656434875492,0.216656434875492,0.216656434875492,0.0,3.7028554324174996
6,LarsenD,10.809999999999995,0.12,5.37,4.870000000000001,0.0,5.0100000000000025,3.9100000000000006,4.08,5.73,1.9699999999999995,4.559999999999999,3.95,3.150000000000001,3.62,0.22,6.49,9.269999999999994,6.14,6.019999999999999,5.739999999999998,5.500000000000003,0.0,96.52999999999997
7,LarsenF,0.0,0.6800000000000002,1.14,1.09,0.17,1.09,0.91,0.93,1.19,0.6399999999999999,0.8400000000000001,0.66,0.6399999999999999,0.63,0.0,0.0,0.43,0.3199999999999999,0.33,0.1599999999999999,0.0399999999999999,0.03,11.92
8,LarsenC,69.91000000000001,0.0573549267375331,27.070000000000004,18.74,0.0,0.2496001441355607,15.95,33.807434897910404,49.74,1.3200000000000005,3.5281586548378563,31.658378073516868,35.44164643769424,44.44142501082949,5.701224078804415,32.60999999999999,28.8316034398292,33.50000000000001,0.588419063196173,7.826735652194084,0.7583595868629377,16.232507633942067,457.9628476004909
9,Telen,0.0336030868047556,0.0,0.1004462739011725,0.0220537429318971,0.002584852831135,0.0,0.0399717213339781,0.001033941132454,0.003101823397362,0.0310127321329376,0.0,0.0399717213339781,0.001033941132454,0.003101823397362,0.001033941132454,0.0,0.0,0.0099929303334945,0.0099929303334945,0.0520325339323807,0.0,0.0,0.3509679960613097
10,Shirase,4.433372712193376,0.0,7.791373553694536,4.981203665187522,0.6087010588823856,3.743511512126672,1.0145017648039762,1.1362419765804534,1.866683247239316,0.6898612000667038,2.4652392884736622,2.008713494311873,2.98263518852369,3.946411865087467,3.1348104532442864,0.0,4.372502606305137,3.713076459182553,0.0,0.2840604941451133,0.3144955470892325,0.0,49.48739608713796
11,Skallen,0.65,0.0,0.030860097584943,0.0441720195169886,0.05,0.0,0.0083440390339772,0.02,0.06,0.0262580292754829,0.0,0.0083440390339772,0.02,0.06,0.02,0.0,0.0,0.0020860097584943,0.0020860097584943,0.0504300487924715,0.0,0.0,1.0525802927548291
12,Rayner_Thyer,12.910000000000002,2.28,4.68,4.52,0.0,3.5,0.86,0.2699999999999999,0.0,0.0,0.0,2.15,3.97,3.62,2.9600000000000004,2.57,0.5100000000000001,0.0,0.03,0.02,0.0,0.0,44.85
13,Myers,0.0,0.0,0.44,0.57,1.3199999999999998,0.0,0.18,0.4499999999999999,0.98,0.64,0.0,0.11,0.03,0.1699999999999999,0.0,5.72,0.02,0.04,0.02,0.02,0.01,0.0,10.719999999999997
14,Porter,0.9416147940522468,0.0,0.1141351265517874,0.0951126054598229,0.0,0.1236463870977697,0.1331576476437521,0.2187589925575926,0.1616914292816989,0.0,0.066578823821876,0.1236463870977697,0.2187589925575926,0.1616914292816989,0.0,0.2282702531035749,0.0,0.0190225210919645,0.0285337816379468,0.0285337816379468,0.0,0.0,2.6631529528750404
15,Zubchatyy,0.0,0.0,0.0099999999999999,0.06,0.1799999999999999,0.0,0.15,0.0799999999999999,0.27,0.0,0.0,0.0899999999999999,0.23,0.38,0.0199999999999999,0.0,0.0,0.1599999999999999,0.22,0.15,0.1799999999999999,0.0,2.1799999999999993
16,WilmaRobertDowner,4.391863282382615,0.03,1.2203280777112058,1.2687326593445694,0.0,1.170738911065301,0.8545329921867173,0.3519118366710587,0.0268589939230024,0.0051176645222448,1.5384700415914678,1.3745329921867175,1.258960298877322,1.3361440398551827,0.1962943097446933,0.2354094865904876,0.5292062601843364,0.2272598331984887,0.2058236516557139,0.1946028110002106,0.2127720635890846,0.0204706580889794,16.6500308643694
17,Edward_VIII,3.79,0.0,1.46,1.39,0.0,1.4499999999999995,1.1700000000000002,1.4200000000000002,0.91,0.0,1.13,1.1700000000000002,1.3200000000000005,1.39,0.0,1.6799999999999995,1.99,1.94,0.0,0.14,0.07,0.0,22.419999999999998
