,Names,lat_lon_coords,regions,area
6,LarsenD,"[-68.87827269, -62.03182338]",Peninsula,
5,LarsenD_1,"[-69.5601021, -61.80408688]",Peninsula,39018716.0
161,LarsenE,"[-73.42968126, -61.12911606]",Peninsula,1167291072.0
7,LarsenF,"[-74.18778377, -60.95562506]",Peninsula,814741786.0
33,LarsenG,"[-74.56545007, -61.80266223]",Peninsula,404058355.0
112,Lauritzen,"[-69.03744726, 156.3100828]",East,519729802.0
120,Lazarev,"[-69.92013254, 14.5056742]",East,
31,Lillie,"[-70.87486179, 163.9985118]",East,769274748.0
27,Liotard,"[-66.61456326, 139.5375424]",East,14946780.0
132,Mandible_Cirque,"[-73.12286627, 169.2913228]",East,24730494.0
134,Manhaul,"[-72.39725951, 169.8214271]",East,12278170.0
127,Marin,"[-76.10561345, 162.4940007]",East,11617632.0
83,Mariner,"[-73.26177356, 168.2145525]",East,
149,Marret,"[-66.41711021, 137.7705394]",East,26075956.0
88,Matusevitch,"[-69.20982444, 157.3275672]",East,258876772.0
26,May_Glacier,"[-66.20135749, 130.4188316]",East,243787160.0
142,McLeod,"[-69.33876954, 158.4238368]",East,16501089.0
48,Mendelssohn,"[-71.29444327, -72.86452892]",Peninsula,471540922.0
91,Mertz,"[-67.24574586, 145.3750294]",East,
96,Morse,"[-66.32238056, 129.9987831]",East,22669620.0
157,Moscow_University,"[-66.87639292, 121.5128469]",East,
85,Moubray,"[-71.93756313, 170.3700735]",East,150193686.0
117,Mulebreen,"[-67.47645018, 59.38254938]",East,303144005.0
13,Myers,"[-67.19213051, 49.88143904]",East,106034499.0
64,Nickerson,"[-75.75001254, -146.3939076]",West,
162,Ninnis,"[-68.24100008, 147.4658576]",East,1929034487.0
122,Nivl,"[-70.20989055, 10.59839265]",East,
87,Noll,"[-69.38968629, 159.0586045]",East,109902585.0
72,Nordenskjold,"[-76.19213758, 162.3472372]",East,229261959.0
129,Parker,"[-73.83858039, 165.7260439]",East,61013969.0
141,Paternostro,"[-69.32617525, 158.6755026]",East,6545246.0
169,Perkins,"[-74.92171076, -136.7262527]",West,7012851.0
2,Philbin_Inlet,"[-74.02459031, -114.0719424]",West,89623557.0
55,Pine_Island,"[-75.12132452, -100.8639383]",West,
14,Porter,"[-66.99854762, 49.33186241]",East,59282002.0
95,PourquoiPas,"[-66.23320527, 135.7183665]",East,195052065.0
158,Prince_Harald,"[-69.43377368, 35.73830852]",East,
104,Publications,"[-69.72602152, 75.40562818]",East,1563273407.0
38,Quar,"[-71.21453796, -10.90630007]",East,2131891419.0
136,Quatermain_Point,"[-72.03776176, 170.1046023]",East,13925927.0
12,Rayner_Thyer,"[-67.65085924, 48.46283814]",East,653450695.0
86,Rennick,"[-70.53991777, 161.6322899]",East,
67,Richter,"[-77.10595251, -155.4288296]",West,96785895.0
37,Riiser-Larsen,"[-73.60336165, -18.42146099]",East,
34,Ronne,"[-77.5930987, -59.76434596]",West,
171,Rose_Point,"[-74.76352972, -136.6323643]",West,7368138.0
71,Ross_East,"[-79.96127822, 170.3664886]",East,
70,Ross_West,"[-80.57321665, -172.9641334]",West,
20,Rund_Bay,"[-67.02077417, 57.20545099]",East,173203469.0
180,Rydberg_Peninsula_1,"[-73.09950548, -79.56485492]",Peninsula,8359066.0
181,Rydberg_Peninsula_2,"[-73.27738519, -79.08368328]",Peninsula,3109665.0
150,Sandford,"[-66.72817374, 129.5384147]",East,23149245.0
100,Shackleton,"[-66.14847466, 97.98797978]",East,
10,Shirase,"[-69.9195464, 38.53922962]",East,823553509.0
11,Skallen,"[-69.67005658, 39.59382033]",East,35881559.0
89,Slava,"[-68.67299343, 154.725714]",East,286335242.0
30,SmithInlet,"[-70.9735482, 167.5764416]",East,98351298.0
103,Sorsdal,"[-68.69559428, 78.09645805]",East,133276756.0
52,Stange,"[-73.02166666, -76.69120506]",Peninsula,
65,Sulzberger,"[-76.87240976, -147.7078039]",West,
131,Suter,"[-73.58099775, 167.2589216]",East,27391335.0
163,Suvorov,"[-69.92280596, 160.3356633]",East,213696294.0
66,Swinburne,"[-77.36465446, -152.7838878]",West,874660882.0
9,Telen,"[-69.63110565, 39.70579292]",East,19804809.0
175,Thomson,"[-73.3723914, -80.39192738]",West,66754177.0
56,Thwaites,"[-75.11636633, -106.3709366]",West,
79,Tinker,"[-74.06016389, 164.9605799]",East,108254075.0
98,Totten,"[-66.86483408, 116.0829809]",East,
24,Tracy_Tremenchus,"[-65.69777592, 101.3275573]",East,
84,Tucker,"[-72.61725039, 169.7562335]",East,439707023.0
25,Underwood,"[-66.65222939, 107.9536345]",East,166550337.0
116,Utsikkar,"[-67.54087231, 61.27098283]",East,94524273.0
53,Venable,"[-73.11907934, -86.62707386]",West,
47,Verdi,"[-71.62165143, -74.48462974]",Peninsula,110152300.0
123,Vigrid,"[-70.249779, 8.400860147]",East,2096015025.0
159,Vincennes_Bay,"[-66.58549833, 110.4528984]",East,956612183.0
97,Voyeykov,"[-66.66866076, 124.6746507]",East,688487271.0
164,Walgreen_Coast_1,"[-73.96258239, -101.7579489]",West,87830722.0
3,Walgreen_Coast_2,"[-73.69275898, -101.6811588]",West,14061833.0
92,WattBay,"[-67.06756302, 144.1005071]",East,80438935.0
102,West,"[-66.64375663, 87.20318642]",East,
152,Whittle,"[-66.34594497, 114.4230955]",East,67587908.0
50,Wilkins,"[-70.75426124, -72.37284918]",Peninsula,
151,Williamson,"[-66.4251435, 114.8105601]",East,277598597.0
16,WilmaRobertDowner,"[-67.04138243, 56.54252876]",East,879350410.0
68,Withrow,"[-77.15648957, -157.1907813]",West,612711970.0
42,Wordie_(Airy_Rotz_Seller),"[-69.15511315, -66.87474774]",Peninsula,2806546.0
40,Wordie_(Cape_Jeremy),"[-69.38957452, -68.00435442]",Peninsula,8508143.0
44,Wordie_(Harriott),"[-69.06242035, -66.84608142]",Peninsula,77493711.0
43,Wordie_(Harriott_Headland),"[-68.99387854, -66.92135035]",Peninsula,36787765.0
41,Wordie_(Prospect),"[-69.40774926, -67.45165471]",Peninsula,162577903.0
82,Wylde,"[-73.57943742, 166.7282965]",East,97818937.0
93,Zelee,"[-66.8119156, 141.2023372]",East,40648302.0
15,Zubchatyy,"[-67.23707401, 49.01419881]",East,275426848.0
